#LDPC, n = 1296, k = 648
#SNR (dB) - BER - PER
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
0.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1.5 1 1 1 1 1 1 0.999 0.999 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
2 1 1 1 1 0.999 0.996 0.992 0.994 0.998 0.999 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
2.5 1 1 1 0.999 0.981 0.935 0.985 0.989 0.994 0.996 0.998 0.999 0.999 0.999 0.999 1 1 1 1 1 1 1 1 1 1 
3 1 1 1 0.961 0.832 0.714 0.946 0.954 0.968 0.995 0.996 0.997 0.997 0.999 1 0.999 0.999 0.999 1 1 1 1 1 1 1 
3.5 1 1 0.979 0.766 0.439 0.782 0.878 0.876 0.924 0.969 0.982 0.986 0.989 0.991 0.991 0.991 0.992 0.992 0.994 0.993 0.995 0.997 0.997 0.997 0.998 
4 1 0.997 0.823 0.397 0.145 0.869 0.756 0.742 0.922 0.953 0.965 0.971 0.971 0.976 0.979 0.983 0.987 0.989 0.989 0.99 0.991 0.991 0.991 0.992 0.993 
4.5 1 0.964 0.499 0.129 0.149 0.631 0.525 0.529 0.761 0.855 0.879 0.908 0.914 0.916 0.929 0.935 0.951 0.951 0.964 0.966 0.976 0.976 0.979 0.978 0.98 
5 1 0.81 0.194 0.026 0.544 0.526 0.512 0.626 0.748 0.793 0.814 0.838 0.852 0.864 0.876 0.888 0.9 0.905 0.911 0.916 0.919 0.922 0.929 0.931 0.935 
5.5 0.998 0.511 0.05 0.002 0.795 0.502 0.454 0.778 0.785 0.807 0.833 0.856 0.864 0.882 0.891 0.904 0.915 0.921 0.927 0.937 0.94 0.947 0.948 0.952 0.955 
6 0.953 0.265 0.012 0.002 0.554 0.268 0.257 0.595 0.656 0.674 0.713 0.739 0.751 0.801 0.808 0.853 0.86 0.885 0.884 0.898 0.903 0.915 0.918 0.927 0.927 
