000000 -7 -7
000001 -7 -5
000011 -7 -3
000010 -7 -1
000110 -7 1
000111 -7 3
000101 -7 5
000100 -7 7
001000 -5 -7
001001 -5 -5
001011 -5 -3
001010 -5 -1
001110 -5 1
001111 -5 3
001101 -5 5
001100 -5 7
011000 -3 -7
011001 -3 -5
011011 -3 -3
011010 -3 -1
011110 -3 1
011111 -3 3
011101 -3 5
011100 -3 7
010000 -1 -7
010001 -1 -5
010011 -1 -3
010010 -1 -1
010110 -1 1
010111 -1 3
010101 -1 5
010100 -1 7
110000 1 -7
110001 1 -5
110011 1 -3
110010 1 -1
110110 1 1
110111 1 3
110101 1 5
110100 1 7
111000 3 -7
111001 3 -5
111011 3 -3
111010 3 -1
111110 3 1
111111 3 3
111101 3 5
111100 3 7
101000 5 -7
101001 5 -5
101011 5 -3
101010 5 -1
101110 5 1
101111 5 3
101101 5 5
101100 5 7
100000 7 -7
100001 7 -5
100011 7 -3
100010 7 -1
100110 7 1
100111 7 3
100101 7 5
100100 7 7
